Team,TeamName,ACTIVE PLAYERS,FORWARD CAP,DEFENSE CAP,GOALTENDER CAP,Team.Salary,CAP SPACE
Jets,Winnipeg Jets,27,22221152,21946146,4475000,57038400,19061600
Hurricanes,Carolina Hurricanes,21,20550353,10629456,7450000,57909471,13195529
Coyotes,Arizona Coyotes,23,23439245,14429872,6060242,60450932,10416568
Predators,Nashville Predators,25,33245833,18387830,7725000,61178945,10221055
Sabres,Buffalo Sabres,24,29525834,16302802,3980601,61688410,9074090
Avalanche,Colorado Avalanche,24,31502404,14612667,6448760,62767942,8419558
Ducks,Anaheim Ducks,27,40885929,16751433,1685429,63192523,8207477
Devils,NewJersey Devils,20,25101235,12898332,6725000,63197460,8202540
Senators,Ottawa Senators,24,26251154,18616746,5550000,65602493,5797507
Islanders,NewYork Islanders,28,36795760,22609872,6303897,66010798,5389202
Flames,Calgary Flames,21,20431720,22920698,5601523,67570257,3829743
BlueJackets,Columbus Blue Jackets,21,42117499,7777232,8225000,67937548,3462452
Oilers,Edmonton Oilers,23,36746163,15512862,1450000,68030462,3369538
Bruins,Boston Bruins,23,33032928,20209166,7706450,69030806,1400194
Flyers,Philadelphia Flyers,25,37024973,17852688,5754032,69056693,2343307
Panthers,Florida Panthers,25,25854746,18673330,5583333,69087745,2312255
Sharks,SanJose Sharks,25,37592156,23754999,3531720,69402747,1997253
Stars,Dallas Stars,27,39538123,18198438,10400000,69987966,1412034
Capitals,Washington Capitals,24,38120611,21739740,6850000,70403880,763620
Wild,Minnesota Wild,25,40996253,20237884,5583333,70816538,583462
RedWings,Detroit Red Wings,23,33010445,24825452,6029167,70882623,3351754
Blues,StLouis Blues,23,41480457,21804895,4850000,71038311,2426689
Blackhawks,Chicago Blackhawks,25,39666459,18913829,6667866,71531510,-881510
Canadiens,Montreal Canadiens,25,28953929,20976124,619758,71938679,-538679
Canucks,Vancouver Canucks,23,36549752,17157540,7550000,72493645,3906355
MapleLeafs,Toronto Maple Leafs,18,23241531,7429059,4150000,72793788,3901748
Lightning,TampaBay Lightning,25,35488021,25260285,6850134,72843083,1779847
Kings,LosAngeles Kings,24,34921521,19212419,7050000,73829268,-30923
Penguins,Pittsburgh Penguins,25,34370411,17779416,6559834,74881535,268465
Rangers,NewYork Rangers,23,36874000,29194757,9250000,76261193,-4986193
